
****************** INTERNAL NODE VOLTAGE PHASE ANGLE VALUES *********************
NODE ID	CONTINGENCY SCENARIO	VOLTAGE PHASE ANGLE
17	4	0.0950634
18	4	0.0896058
19	4	0.0896229
20	4	0.069935
21	4	0.0709307
22	4	0.0856483
23	4	0.125673
24	4	0.122105
25	4	0.196736
26	4	0.2093
27	4	0.0668343
28	4	0.047137
29	4	0.0414434
30	4	0.1233
31	4	0.0473889
32	4	0.06871
33	4	0.0717731
34	4	0.084564
35	4	0.0817357
36	4	0.0840169
37	4	0.0870217
38	4	0.124021
39	4	0.0546165
40	4	0.0524561
41	4	0.0413356
42	4	0.0604588
43	4	0.0545863
44	4	0.0549954
45	4	0.0695616
46	4	0.104598
47	4	0.133415
48	4	0.132577
49	4	0.150153
50	4	0.122346
51	4	0.0867242
52	4	0.0731423
53	4	0.0648061
54	4	0.0866459
55	4	0.0892494
56	4	0.0878693
57	4	0.0955758
58	4	0.0822664
59	4	0.133844
60	4	0.178937
61	4	0.192437
62	4	0.184046
63	4	0.172436
64	4	0.192432
65	4	0.222621
66	4	0.231883
67	4	0.194443
68	4	0.213114
69	4	0.216503
70	4	0.107185
71	4	0.108472
72	4	0.114998
73	4	0.108472
74	4	0.0829039
75	4	0.094528
76	4	0.0592161
77	4	0.131788
78	4	0.125696
79	4	0.131033
80	4	0.173886
81	4	0.199261
82	4	0.103669
83	4	0.103973
84	4	0.113094
85	4	0.124575
86	4	0.101877
87	4	0.107158
88	4	0.152368
89	4	0.205945
90	4	0.155203
91	4	0.155299
92	4	0.155445
93	4	0.133407
94	4	0.123168
95	4	0.109115
96	4	0.114378
97	4	0.136514
98	4	0.140209
99	4	0.153356
100	4	0.145253
101	4	0.132577
102	4	0.145967
103	4	0.107876
104	4	0.0677602
105	4	0.0581922
106	4	0.0531379
107	4	0.0413067
108	4	0.0536792
109	4	0.0524064
110	4	0.0551346
111	4	0.081632
112	4	0.0413067
113	4	0.099106
114	4	0.0582352
115	4	0.0572871
116	4	0.213114
117	4	0.0470531
118	4	0.069533
1	5	0.00357756
2	5	0.0239919
3	5	1.65499e-14
4	5	0.0660695
5	5	0.0704355
6	5	0.0695958
7	5	0.0592884
8	5	0.0954693
9	5	0.117259
10	5	0.140263
11	5	0.0448648
12	5	0.0488998
13	5	0.0310484
14	5	0.0467049
15	5	0.0679511
16	5	0.0434552
17	5	0.0767229
18	5	0.0710958
19	5	0.0709475
20	5	0.0515307
21	5	0.0527231
22	5	0.0676654
23	5	0.108058
24	5	0.104529
25	5	0.1794
26	5	0.192196
27	5	0.049076
28	5	0.0292932
29	5	0.0235052
30	5	0.106718
31	5	0.0294175
32	5	0.0508728
33	5	0.0534175
34	5	0.0669948
35	5	0.0641816
36	5	0.0664586
37	5	0.0694877
38	5	0.106842
39	5	0.0371077
40	5	0.0349616
41	5	0.0238526
42	5	0.0430075
43	5	0.0370708
44	5	0.0375584
45	5	0.0521535
46	5	0.0872088
47	5	0.116037
48	5	0.115199
49	5	0.132778
50	5	0.104975
51	5	0.0693571
52	5	0.0557762
53	5	0.047443
54	5	0.069285
55	5	0.0718895
56	5	0.0705088
57	5	0.0782107
58	5	0.0649021
59	5	0.116495
60	5	0.161593
61	5	0.175093
62	5	0.166701
63	5	0.155093
64	5	0.175092
65	5	0.205288
66	5	0.214532
67	5	0.177095
68	5	0.195768
69	5	0.199135
70	5	0.0897669
71	5	0.0910403
72	5	0.0974975
73	5	0.0910403
74	5	0.0655085
75	5	0.0771395
76	5	0.0418372
77	5	0.114423
78	5	0.108332
79	5	0.11367
80	5	0.156526
81	5	0.18191
82	5	0.0863062
83	5	0.0866106
84	5	0.095732
85	5	0.107212
86	5	0.0845145
87	5	0.0897958
88	5	0.135006
89	5	0.188583
90	5	0.137841
91	5	0.137937
92	5	0.138084
93	5	0.116046
94	5	0.105806
95	5	0.0917537
96	5	0.097016
97	5	0.119153
98	5	0.122849
99	5	0.135995
100	5	0.127892
101	5	0.115216
102	5	0.128606
103	5	0.0905148
104	5	0.0503992
105	5	0.0408312
106	5	0.0357768
107	5	0.0239457
108	5	0.0363182
109	5	0.0350453
110	5	0.0377736
111	5	0.064271
112	5	0.0239457
113	5	0.0808305
114	5	0.0404311
115	5	0.0394887
116	5	0.195768
117	5	0.0208998
118	5	0.052149
1	6	0.000164972
2	6	0.0125388
3	6	2.22151e-14
4	6	0.0381573
5	6	0.0416998
6	6	0.0469772
7	6	0.039026
8	6	0.0681615
9	6	0.0899511
10	6	0.112955
11	6	0.0240518
12	6	0.0324888
13	6	0.00985239
14	6	0.0286799
15	6	0.0454745
16	6	0.0249251
17	6	0.0536166
18	6	0.0481348
19	6	0.0481282
20	6	0.0284791
21	6	0.0295029
22	6	0.0442526
23	6	0.08433
24	6	0.0807676
25	6	0.155433
26	6	0.16803
27	6	0.0254708
28	6	0.00576125
29	6	5.41192e-05
30	6	0.0821051
31	6	0.00599488
32	6	0.0273352
33	6	0.0303241
34	6	0.0432276
35	6	0.0404014
36	6	0.042682
37	6	0.0456903
38	6	0.0827406
39	6	0.0132887
40	6	0.0111303
41	6	1.14394e-05
42	6	0.0191392
43	6	0.0132575
44	6	0.0136778
45	6	0.0282481
46	6	0.063287
47	6	0.0921058
48	6	0.0912681
49	6	0.108845
50	6	0.0810378
51	6	0.0454167
52	6	0.0318349
53	6	0.0234991
54	6	0.0453392
55	6	0.0479429
56	6	0.0465626
57	6	0.0542685
58	6	0.0409593
59	6	0.0925387
60	6	0.137633
61	6	0.151132
62	6	0.142741
63	6	0.131132
64	6	0.151128
65	6	0.181319
66	6	0.190578
67	6	0.153138
68	6	0.171809
69	6	0.175196
70	6	0.0658699
71	6	0.0671551
72	6	0.0736717
73	6	0.0671551
74	6	0.0415922
75	6	0.0532174
76	6	0.0179069
77	6	0.090481
78	6	0.0843892
79	6	0.0897259
80	6	0.13258
81	6	0.157956
82	6	0.062362
83	6	0.0626662
84	6	0.0717874
85	6	0.0832677
86	6	0.0605698
87	6	0.065851
88	6	0.111061
89	6	0.164638
90	6	0.113896
91	6	0.113992
92	6	0.114138
93	6	0.0921004
94	6	0.0818611
95	6	0.0678084
96	6	0.0730708
97	6	0.0952074
98	6	0.0989028
99	6	0.112049
100	6	0.103946
101	6	0.0912702
102	6	0.10466
103	6	0.0665691
104	6	0.0264535
105	6	0.0168855
106	6	0.0118312
107	6	4.71709e-12
108	6	0.0123725
109	6	0.0110997
110	6	0.0138279
111	6	0.0403253
112	6	7.18544e-12
113	6	0.0576685
114	6	0.0168651
115	6	0.0159179
116	6	0.171809
117	6	0.00448877
118	6	0.028223
Finished writing Internal Node Voltage Phase Angles
