
****************** INTERNAL TRANSMISSION LINES FLOWS *********************
TRANSMISSION LINE ID	CONTINGENCY SCENARIO	MW FLOW
124	1	-2.62822e-09 MW
125	1	-28.6349 MW
126	1	-18.6423 MW
127	1	51.9625 MW
128	1	-49.0375 MW
129	1	-18.9625 MW
130	1	49.1277 MW
131	1	-86.8022 MW
132	1	-40.0944 MW
133	1	32.9646 MW
134	1	-21.8723 MW
135	1	-60.8723 MW
136	1	68.5858 MW
137	1	32.6973 MW
138	1	40.0132 MW
139	1	31.1823 MW
140	1	9.96633 MW
141	1	-0.829995 MW
142	1	-20.2054 MW
143	1	-6.91002 MW
144	1	-13.92 MW
145	1	-17.91 MW
146	1	18.4536 MW
147	1	-27.2486 MW
148	1	-47.035 MW
149	1	-2.5464 MW
150	1	-75.2486 MW
151	1	26.9904 MW
152	1	50.8947 MW
153	1	99.9999 MW
154	1	31.9418 MW
155	1	-0.114837 MW
156	1	-0.114837 MW
157	1	25.9881 MW
158	1	20.4286 MW
159	1	3.45483 MW
160	1	16.9554 MW
161	1	13.9881 MW
162	1	32.3795 MW
163	1	10.1154 MW
164	1	-38.0783 MW
165	1	-9.62047 MW
166	1	-25.0132 MW
167	1	-2.81768 MW
168	1	9.96633 MW
169	1	10.0446 MW
170	1	71.1949 MW
171	1	37.9867 MW
172	1	40.225 MW
173	1	-11.9554 MW
174	1	25.3255 MW
175	1	30.5745 MW
176	1	29.0906 MW
177	1	25.3122 MW
178	1	9.2401 MW
179	1	9.22705 MW
180	1	6.41962 MW
181	1	6.46512 MW
182	1	4.41962 MW
183	1	-3.58038 MW
184	1	-35.0959 MW
185	1	21.6061 MW
186	1	9.10297 MW
1	2	-11.9972 MW
3	2	-31.9972 MW
4	2	-27.986 MW
5	2	-11.014 MW
6	2	-47.2321 MW
7	2	23.3416 MW
8	2	-6.65579 MW
9	2	97.6358 MW
10	2	29.0735 MW
11	2	41.3442 MW
12	2	22.3442 MW
13	2	-71.4414 MW
14	2	-26.1944 MW
15	2	-71.4414 MW
16	2	-36.8654 MW
17	2	19.2805 MW
18	2	4.75918 MW
19	2	8.36995 MW
20	2	20 MW
21	2	-14.7195 MW
22	2	-9.24082 MW
23	2	-19.0282 MW
24	2	-6.97448 MW
25	2	12.0423 MW
26	2	-16.6301 MW
27	2	10.9342 MW
28	2	74.4924 MW
29	2	30.4124 MW
30	2	-13.5125 MW
31	2	0.0925128 MW
32	2	16.7395 MW
33	2	1.87844 MW
34	2	-1.26055 MW
35	2	-15.2605 MW
36	2	-25.2605 MW
37	2	7.2225 MW
38	2	-88.9603 MW
39	2	49.4773 MW
40	2	3.61125 MW
41	2	3.61125 MW
42	2	33.1216 MW
43	2	79.7923 MW
44	2	99.7702 MW
45	2	23.0757 MW
46	2	-2.44478 MW
47	2	12.9047 MW
48	2	6.0757 MW
49	2	-17.9243 MW
50	2	-0.916571 MW
51	2	-21.6974 MW
52	2	-14.8916 MW
53	2	17.0953 MW
54	2	-10.9577 MW
55	2	2.02622 MW
56	2	-26.2875 MW
57	2	17.8212 MW
58	2	-22.3488 MW
59	2	-10.6512 MW
60	2	99.0242 MW
61	2	30.562 MW
62	2	20.5659 MW
63	2	-99.9408 MW
64	2	3.56197 MW
65	2	22.8258 MW
66	2	-4.38201 MW
67	2	-14.1742 MW
68	2	-27.7781 MW
69	2	-27.7781 MW
70	2	-0.178824 MW
71	2	-16.1788 MW
72	2	-25.8432 MW
73	2	-43.3356 MW
74	2	-22.694 MW
75	2	-14.8062 MW
76	2	-26.7832 MW
77	2	-29.9108 MW
78	2	-34.8062 MW
79	2	36.976 MW
80	2	46.2964 MW
81	2	21.973 MW
82	2	21.822 MW
83	2	-88.9435 MW
84	2	-88.9435 MW
85	2	-20.4792 MW
86	2	19.976 MW
87	2	23.0979 MW
88	2	6.1985 MW
89	2	5.09788 MW
90	2	-17.9021 MW
91	2	-3.68303 MW
92	2	-12.8119 MW
93	2	-20.5854 MW
94	2	9.14152 MW
95	2	-20.6666 MW
96	2	-7.97596 MW
97	2	5.8015 MW
98	2	-18.3183 MW
99	2	-19.238 MW
100	2	-31.1003 MW
101	2	-39.0632 MW
102	2	99.9855 MW
103	2	-99.9953 MW
104	2	-9.10493 MW
105	2	22.3178 MW
106	2	-0.0120431 MW
107	2	-21.9428 MW
108	2	-8.88576 MW
109	2	-99.9855 MW
110	2	-99.9735 MW
111	2	-25.0138 MW
112	2	59.4514 MW
113	2	36.8858 MW
114	2	-9.13778 MW
115	2	68.5892 MW
116	2	-1.06388e-06 MW
117	2	86.0925 MW
118	2	99.9861 MW
119	2	83.8751 MW
120	2	-3.61125 MW
121	2	18.3465 MW
122	2	8.96851 MW
123	2	-3.61125 MW
124	2	-2.62822e-09 MW
125	2	-28.6373 MW
126	2	-18.6439 MW
127	2	51.9612 MW
128	2	-49.0388 MW
129	2	-18.9612 MW
130	2	49.127 MW
131	2	-86.8038 MW
132	2	-40.0951 MW
133	2	32.9642 MW
134	2	-21.873 MW
135	2	-60.873 MW
136	2	68.5892 MW
137	2	32.6974 MW
138	2	40.0133 MW
139	2	31.1824 MW
140	2	9.96639 MW
141	2	-0.830067 MW
142	2	-20.2057 MW
143	2	-6.91006 MW
144	2	-13.92 MW
145	2	-17.9101 MW
146	2	18.4536 MW
147	2	-27.2486 MW
148	2	-47.035 MW
149	2	-2.5464 MW
150	2	-75.2486 MW
151	2	26.9904 MW
152	2	50.8947 MW
153	2	99.9999 MW
154	2	31.9418 MW
155	2	-0.114845 MW
156	2	-0.114845 MW
157	2	25.9881 MW
158	2	20.4286 MW
159	2	3.45481 MW
160	2	16.9553 MW
161	2	13.9881 MW
162	2	32.3796 MW
163	2	10.1155 MW
164	2	-38.0784 MW
165	2	-9.62045 MW
166	2	-25.0133 MW
167	2	-2.81761 MW
168	2	9.96639 MW
169	2	10.0447 MW
170	2	71.1949 MW
171	2	37.9867 MW
172	2	40.225 MW
173	2	-11.9553 MW
174	2	25.3255 MW
175	2	30.5745 MW
176	2	29.0906 MW
177	2	25.3122 MW
178	2	9.2401 MW
179	2	9.22705 MW
180	2	6.41962 MW
181	2	6.46512 MW
182	2	4.41962 MW
183	2	-3.58038 MW
184	2	-35.0959 MW
185	2	21.6061 MW
186	2	9.09527 MW
1	3	20 MW
2	3	-31.9972 MW
4	3	-45.0557 MW
5	3	-25.9415 MW
6	3	-42.6703 MW
7	3	18.7798 MW
8	3	-11.6638 MW
9	3	100 MW
10	3	23.9378 MW
11	3	36.3362 MW
12	3	17.3362 MW
13	3	-71.4414 MW
14	3	-28.5586 MW
15	3	-71.4414 MW
16	3	-46.7946 MW
17	3	19.5121 MW
18	3	5.76842 MW
19	3	9.49327 MW
20	3	20 MW
21	3	-14.4879 MW
22	3	-8.23158 MW
23	3	-18.3911 MW
24	3	-6.5899 MW
25	3	12.2615 MW
26	3	-15.5067 MW
27	3	10.8071 MW
28	3	72.7761 MW
29	3	30.5019 MW
30	3	-13.4307 MW
31	3	-0.0346227 MW
32	3	16.8272 MW
33	3	2.04811 MW
34	3	-1.17277 MW
35	3	-15.1728 MW
36	3	-25.1728 MW
37	3	7.25171 MW
38	3	-88.8286 MW
39	3	49.4041 MW
40	3	3.62586 MW
41	3	3.62586 MW
42	3	32.8917 MW
43	3	79.6942 MW
44	3	100 MW
45	3	23.0378 MW
46	3	-2.48441 MW
47	3	12.8842 MW
48	3	6.03778 MW
49	3	-17.9622 MW
50	3	-1.33467 MW
51	3	-21.6459 MW
52	3	-14.9734 MW
53	3	17.1158 MW
54	3	-10.7385 MW
55	3	2.04163 MW
56	3	-26.1454 MW
57	3	17.8333 MW
58	3	-22.3642 MW
59	3	-10.6358 MW
60	3	98.6653 MW
61	3	30.5709 MW
62	3	20.5748 MW
63	3	-100 MW
64	3	3.57095 MW
65	3	22.8347 MW
66	3	-4.37306 MW
67	3	-14.1653 MW
68	3	-27.7692 MW
69	3	-27.7692 MW
70	3	-0.166702 MW
71	3	-16.1667 MW
72	3	-25.8378 MW
73	3	-43.3289 MW
74	3	-22.6908 MW
75	3	-14.804 MW
76	3	-26.7814 MW
77	3	-29.9094 MW
78	3	-34.804 MW
79	3	36.9778 MW
80	3	46.2986 MW
81	3	21.9749 MW
82	3	21.8238 MW
83	3	-88.9334 MW
84	3	-88.9334 MW
85	3	-20.4784 MW
86	3	19.9778 MW
87	3	23.0986 MW
88	3	6.19999 MW
89	3	5.09856 MW
90	3	-17.9014 MW
91	3	-3.68248 MW
92	3	-12.8101 MW
93	3	-20.5834 MW
94	3	9.14009 MW
95	3	-20.6646 MW
96	3	-7.97777 MW
97	3	5.80001 MW
98	3	-18.3165 MW
99	3	-19.2362 MW
100	3	-31.0991 MW
101	3	-39.0619 MW
102	3	99.9803 MW
103	3	-99.9936 MW
104	3	-9.10546 MW
105	3	22.3164 MW
106	3	-0.0164129 MW
107	3	-21.9438 MW
108	3	-8.88673 MW
109	3	-99.9803 MW
110	3	-99.9639 MW
111	3	-25.032 MW
112	3	59.42 MW
113	3	36.8867 MW
114	3	-9.16016 MW
115	3	68.5802 MW
116	3	2.41839e-07 MW
117	3	86.0776 MW
118	3	99.9797 MW
119	3	83.8762 MW
120	3	-3.62586 MW
121	3	18.3529 MW
122	3	8.97641 MW
123	3	-3.62586 MW
124	3	-2.62822e-09 MW
125	3	-28.6309 MW
126	3	-18.6395 MW
127	3	51.9647 MW
128	3	-49.0353 MW
129	3	-18.9647 MW
130	3	49.1289 MW
131	3	-86.7996 MW
132	3	-40.0932 MW
133	3	32.9653 MW
134	3	-21.8711 MW
135	3	-60.8711 MW
136	3	68.5802 MW
137	3	32.697 MW
138	3	40.013 MW
139	3	31.1822 MW
140	3	9.96623 MW
141	3	-0.829875 MW
142	3	-20.2049 MW
143	3	-6.90997 MW
144	3	-13.9199 MW
145	3	-17.91 MW
146	3	18.4536 MW
147	3	-27.2485 MW
148	3	-47.0349 MW
149	3	-2.5464 MW
150	3	-75.2485 MW
151	3	26.9904 MW
152	3	50.8947 MW
153	3	100 MW
154	3	31.9418 MW
155	3	-0.114822 MW
156	3	-0.114822 MW
157	3	25.9881 MW
158	3	20.4286 MW
159	3	3.45487 MW
160	3	16.9554 MW
161	3	13.9881 MW
162	3	32.3795 MW
163	3	10.1154 MW
164	3	-38.0782 MW
165	3	-9.62051 MW
166	3	-25.013 MW
167	3	-2.81778 MW
168	3	9.96623 MW
169	3	10.0446 MW
170	3	71.1949 MW
171	3	37.9867 MW
172	3	40.225 MW
173	3	-11.9554 MW
174	3	25.3255 MW
175	3	30.5745 MW
176	3	29.0906 MW
177	3	25.3122 MW
178	3	9.2401 MW
179	3	9.22705 MW
180	3	6.41962 MW
181	3	6.46512 MW
182	3	4.41962 MW
183	3	-3.58038 MW
184	3	-35.0959 MW
185	3	21.6061 MW
186	3	9.11581 MW
1	4	-20.4348 MW
2	4	8.43764 MW
3	4	-40.4348 MW
5	4	-30.5624 MW
6	4	-54.7112 MW
7	4	30.8207 MW
8	4	1.55485 MW
9	4	93.7597 MW
10	4	37.4936 MW
11	4	49.5548 MW
12	4	30.5548 MW
13	4	-71.4414 MW
14	4	-22.3182 MW
15	4	-71.4414 MW
16	4	-20.5864 MW
17	4	18.9007 MW
18	4	3.10451 MW
19	4	6.52824 MW
20	4	20 MW
21	4	-15.0993 MW
22	4	-10.8955 MW
23	4	-20.0727 MW
24	4	-7.60501 MW
25	4	11.6829 MW
26	4	-18.4718 MW
27	4	11.1426 MW
28	4	77.3062 MW
29	4	30.2657 MW
30	4	-13.6466 MW
31	4	0.300953 MW
32	4	16.5955 MW
33	4	1.60027 MW
34	4	-1.40446 MW
35	4	-15.4045 MW
36	4	-25.4045 MW
37	4	7.17459 MW
38	4	-89.1764 MW
39	4	49.5973 MW
40	4	3.5873 MW
41	4	3.5873 MW
42	4	33.4984 MW
43	4	79.9531 MW
44	4	99.3933 MW
45	4	23.1379 MW
46	4	-2.3798 MW
47	4	12.9384 MW
48	4	6.13786 MW
49	4	-17.8621 MW
50	4	-0.231098 MW
51	4	-21.782 MW
52	4	-14.7575 MW
53	4	17.0616 MW
54	4	-11.3171 MW
55	4	2.00096 MW
56	4	-26.5206 MW
57	4	17.8013 MW
58	4	-22.3236 MW
59	4	-10.6764 MW
60	4	99.6126 MW
61	4	30.5472 MW
62	4	20.5513 MW
63	4	-99.8437 MW
64	4	3.54725 MW
65	4	22.8111 MW
66	4	-4.3967 MW
67	4	-14.1889 MW
68	4	-27.7928 MW
69	4	-27.7928 MW
70	4	-0.198698 MW
71	4	-16.1987 MW
72	4	-25.852 MW
73	4	-43.3467 MW
74	4	-22.6992 MW
75	4	-14.8098 MW
76	4	-26.7862 MW
77	4	-29.913 MW
78	4	-34.8098 MW
79	4	36.973 MW
80	4	46.2928 MW
81	4	21.97 MW
82	4	21.819 MW
83	4	-88.96 MW
84	4	-88.96 MW
85	4	-20.4806 MW
86	4	19.973 MW
87	4	23.0968 MW
88	4	6.19604 MW
89	4	5.09676 MW
90	4	-17.9032 MW
91	4	-3.68393 MW
92	4	-12.8148 MW
93	4	-20.5888 MW
94	4	9.14386 MW
95	4	-20.6698 MW
96	4	-7.97301 MW
97	4	5.80396 MW
98	4	-18.3212 MW
99	4	-19.2411 MW
100	4	-31.1022 MW
101	4	-39.0652 MW
102	4	99.9941 MW
103	4	-99.9981 MW
104	4	-9.10405 MW
105	4	22.3201 MW
106	4	-0.00487856 MW
107	4	-21.9412 MW
108	4	-8.88417 MW
109	4	-99.9941 MW
110	4	-99.9893 MW
111	4	-24.984 MW
112	4	59.5029 MW
113	4	36.8842 MW
114	4	-9.10109 MW
115	4	68.604 MW
116	4	-3.28284e-07 MW
117	4	86.1169 MW
118	4	99.9965 MW
119	4	83.8733 MW
120	4	-3.5873 MW
121	4	18.3359 MW
122	4	8.95557 MW
123	4	-3.5873 MW
124	4	-2.62822e-09 MW
125	4	-28.6479 MW
126	4	-18.6512 MW
127	4	51.9554 MW
128	4	-49.0446 MW
129	4	-18.9554 MW
130	4	49.1239 MW
131	4	-86.8106 MW
132	4	-40.0982 MW
133	4	32.9625 MW
134	4	-21.8761 MW
135	4	-60.8761 MW
136	4	68.604 MW
137	4	32.698 MW
138	4	40.0139 MW
139	4	31.1827 MW
140	4	9.96667 MW
141	4	-0.830384 MW
142	4	-20.2072 MW
143	4	-6.91019 MW
144	4	-13.9202 MW
145	4	-17.9102 MW
146	4	18.4536 MW
147	4	-27.2488 MW
148	4	-47.0352 MW
149	4	-2.5464 MW
150	4	-75.2488 MW
151	4	26.9904 MW
152	4	50.8947 MW
153	4	99.9997 MW
154	4	31.9417 MW
155	4	-0.114884 MW
156	4	-0.114884 MW
157	4	25.988 MW
158	4	20.4285 MW
159	4	3.45471 MW
160	4	16.9553 MW
161	4	13.988 MW
162	4	32.3797 MW
163	4	10.1156 MW
164	4	-38.0787 MW
165	4	-9.62034 MW
166	4	-25.0139 MW
167	4	-2.81734 MW
168	4	9.96667 MW
169	4	10.0447 MW
170	4	71.1949 MW
171	4	37.9867 MW
172	4	40.225 MW
173	4	-11.9553 MW
174	4	25.3255 MW
175	4	30.5745 MW
176	4	29.0906 MW
177	4	25.3122 MW
178	4	9.2401 MW
179	4	9.22705 MW
180	4	6.41962 MW
181	4	6.46512 MW
182	4	4.41962 MW
183	4	-3.58038 MW
184	4	-35.0959 MW
185	4	21.6061 MW
186	4	9.0616 MW
1	5	-12.3863 MW
2	5	0.389085 MW
3	5	-32.3863 MW
4	5	-38.6109 MW
6	5	-44.3926 MW
7	5	20.5021 MW
8	5	-9.77297 MW
9	5	99.1074 MW
10	5	25.8768 MW
11	5	38.227 MW
12	5	19.227 MW
13	5	-71.4414 MW
14	5	-27.666 MW
15	5	-71.4414 MW
16	5	-43.0457 MW
17	5	19.4247 MW
18	5	5.38737 MW
19	5	9.06915 MW
20	5	20 MW
21	5	-14.5753 MW
22	5	-8.61263 MW
23	5	-18.6316 MW
24	5	-6.7351 MW
25	5	12.1788 MW
26	5	-15.9308 MW
27	5	10.8551 MW
28	5	73.4241 MW
29	5	30.4681 MW
30	5	-13.4616 MW
31	5	0.0133783 MW
32	5	16.7941 MW
33	5	1.98405 MW
34	5	-1.20591 MW
35	5	-15.2059 MW
36	5	-25.2059 MW
37	5	7.24068 MW
38	5	-88.8783 MW
39	5	49.4317 MW
40	5	3.62034 MW
41	5	3.62034 MW
42	5	32.9785 MW
43	5	79.7312 MW
44	5	99.9132 MW
45	5	23.0521 MW
46	5	-2.46945 MW
47	5	12.8919 MW
48	5	6.0521 MW
49	5	-17.9479 MW
50	5	-1.17681 MW
51	5	-21.6653 MW
52	5	-14.9425 MW
53	5	17.1081 MW
54	5	-10.8212 MW
55	5	2.03582 MW
56	5	-26.1991 MW
57	5	17.8287 MW
58	5	-22.3584 MW
59	5	-10.6416 MW
60	5	98.8008 MW
61	5	30.5676 MW
62	5	20.5714 MW
63	5	-99.9776 MW
64	5	3.56756 MW
65	5	22.8313 MW
66	5	-4.37644 MW
67	5	-14.1687 MW
68	5	-27.7726 MW
69	5	-27.7726 MW
70	5	-0.171279 MW
71	5	-16.1713 MW
72	5	-25.8399 MW
73	5	-43.3314 MW
74	5	-22.692 MW
75	5	-14.8048 MW
76	5	-26.782 MW
77	5	-29.9099 MW
78	5	-34.8048 MW
79	5	36.9771 MW
80	5	46.2977 MW
81	5	21.9742 MW
82	5	21.8231 MW
83	5	-88.9372 MW
84	5	-88.9372 MW
85	5	-20.4787 MW
86	5	19.9771 MW
87	5	23.0983 MW
88	5	6.19943 MW
89	5	5.0983 MW
90	5	-17.9017 MW
91	5	-3.68269 MW
92	5	-12.8107 MW
93	5	-20.5842 MW
94	5	9.14063 MW
95	5	-20.6654 MW
96	5	-7.97709 MW
97	5	5.80057 MW
98	5	-18.3172 MW
99	5	-19.2369 MW
100	5	-31.0995 MW
101	5	-39.0624 MW
102	5	99.9823 MW
103	5	-99.9943 MW
104	5	-9.10526 MW
105	5	22.317 MW
106	5	-0.0147632 MW
107	5	-21.9434 MW
108	5	-8.88636 MW
109	5	-99.9823 MW
110	5	-99.9675 MW
111	5	-25.0251 MW
112	5	59.4319 MW
113	5	36.8864 MW
114	5	-9.15171 MW
115	5	68.5836 MW
116	5	2.95323e-07 MW
117	5	86.0832 MW
118	5	99.9821 MW
119	5	83.8758 MW
120	5	-3.62034 MW
121	5	18.3505 MW
122	5	8.97343 MW
123	5	-3.62034 MW
124	5	-2.62822e-09 MW
125	5	-28.6333 MW
126	5	-18.6412 MW
127	5	51.9634 MW
128	5	-49.0366 MW
