
****************** INTERNAL TRANSMISSION LINES FLOWS *********************
TRANSMISSION LINE ID	CONTINGENCY SCENARIO	MW FLOW
75	Base-Case	-14.8431 MW
76	Base-Case	-27.3552 MW
77	Base-Case	-29.1268 MW
78	Base-Case	-34.8431 MW
79	Base-Case	36.9997 MW
80	Base-Case	46.3259 MW
81	Base-Case	21.9994 MW
82	Base-Case	21.8482 MW
83	Base-Case	-89.413 MW
84	Base-Case	-89.413 MW
85	Base-Case	-19.6967 MW
86	Base-Case	19.9997 MW
87	Base-Case	23.1083 MW
88	Base-Case	6.21756 MW
89	Base-Case	5.1083 MW
90	Base-Case	-17.8917 MW
91	Base-Case	-3.68122 MW
92	Base-Case	-12.8513 MW
93	Base-Case	-20.4662 MW
94	Base-Case	9.10807 MW
95	Base-Case	-20.5405 MW
96	Base-Case	-7.99967 MW
97	Base-Case	5.78245 MW
98	Base-Case	-18.2079 MW
99	Base-Case	-19.1221 MW
100	Base-Case	-31.1034 MW
101	Base-Case	-39.0667 MW
102	Base-Case	100 MW
103	Base-Case	-100 MW
104	Base-Case	-9.10352 MW
105	Base-Case	22.3217 MW
106	Base-Case	-1.16584e-05 MW
107	Base-Case	-22.2994 MW
108	Base-Case	-9.24155 MW
109	Base-Case	-100 MW
110	Base-Case	-100 MW
111	Base-Case	-27.0807 MW
112	Base-Case	69.0407 MW
113	Base-Case	37.2415 MW
114	Base-Case	-7.33274 MW
115	Base-Case	76.3726 MW
116	Base-Case	-6.0939e-05 MW
117	Base-Case	87.2856 MW
118	Base-Case	100 MW
119	Base-Case	87.1258 MW
120	Base-Case	-1.30545 MW
121	Base-Case	15.9906 MW
122	Base-Case	7.90589 MW
123	Base-Case	-1.30545 MW
124	Base-Case	-3.82073e-09 MW
125	Base-Case	-24.6508 MW
126	Base-Case	-17.01 MW
127	Base-Case	53.2651 MW
128	Base-Case	-47.7349 MW
129	Base-Case	-20.2651 MW
130	Base-Case	49.5944 MW
131	Base-Case	-85.7706 MW
132	Base-Case	-39.6179 MW
133	Base-Case	37.175 MW
134	Base-Case	-21.4056 MW
135	Base-Case	-60.4056 MW
136	Base-Case	76.3726 MW
137	Base-Case	34.9325 MW
138	Base-Case	42.2496 MW
139	Base-Case	34.6295 MW
140	Base-Case	13.4099 MW
141	Base-Case	1.53703 MW
142	Base-Case	-18.3622 MW
143	Base-Case	-5.892 MW
144	Base-Case	-12.571 MW
145	Base-Case	-16.8919 MW
146	Base-Case	18.4628 MW
147	Base-Case	-26.0704 MW
148	Base-Case	-45.8554 MW
149	Base-Case	-2.53718 MW
150	Base-Case	-74.0702 MW
151	Base-Case	26.9904 MW
152	Base-Case	50.8947 MW
153	Base-Case	99.9999 MW
154	Base-Case	31.9418 MW
155	Base-Case	-0.114866 MW
156	Base-Case	-0.114814 MW
157	Base-Case	25.3439 MW
158	Base-Case	19.7844 MW
159	Base-Case	4.09807 MW
160	Base-Case	17.6007 MW
161	Base-Case	13.3438 MW
162	Base-Case	29.4133 MW
163	Base-Case	6.76685 MW
164	Base-Case	-33.0517 MW
165	Base-Case	-12.5868 MW
166	Base-Case	-27.2496 MW
167	Base-Case	0.629495 MW
168	Base-Case	13.4099 MW
169	Base-Case	9.39946 MW
170	Base-Case	77.3686 MW
171	Base-Case	40.2587 MW
172	Base-Case	42.8142 MW
173	Base-Case	-12.6006 MW
174	Base-Case	26.2053 MW
175	Base-Case	32.1653 MW
176	Base-Case	32.1792 MW
177	Base-Case	28.464 MW
178	Base-Case	9.42876 MW
179	Base-Case	12.0614 MW
180	Base-Case	8.13926 MW
181	Base-Case	9.24305 MW
182	Base-Case	6.13924 MW
183	Base-Case	-1.8605 MW
184	Base-Case	-33.6814 MW
185	Base-Case	25 MW
186	Base-Case	8.49379 MW
2	1	-43.4739 MW
3	1	-20 MW
4	1	-60.9563 MW
5	1	-21.5176 MW
6	1	21.678 MW
7	1	48.322 MW
8	1	14.5111 MW
9	1	100 MW
10	1	46.2106 MW
11	1	54.7969 MW
12	1	35.7969 MW
13	1	-100 MW
14	1	-3.83028e-08 MW
15	1	-100 MW
16	1	-0.565927 MW
17	1	25.0985 MW
18	1	9.03371 MW
19	1	9.64608 MW
20	1	20 MW
21	1	-8.90153 MW
22	1	-4.96629 MW
23	1	-37.323 MW
24	1	-7.97075 MW
25	1	5.8983 MW
26	1	-15.3539 MW
27	1	12.0307 MW
28	1	99.2194 MW
29	1	42.0123 MW
30	1	-18.5005 MW
31	1	14.3898 MW
32	1	16.7436 MW
33	1	-4.74681 MW
34	1	-1.25645 MW
35	1	-15.2564 MW
36	1	-25.2564 MW
37	1	2.62414 MW
38	1	-99.0773 MW
39	1	64.1967 MW
40	1	1.31207 MW
41	1	1.31207 MW
42	1	57.5175 MW
43	1	94.6403 MW
44	1	100 MW
45	1	20.4457 MW
46	1	-1.30217 MW
47	1	13.4968 MW
48	1	3.44569 MW
49	1	-20.5543 MW
50	1	0.780631 MW
51	1	-15.1371 MW
52	1	-27.7457 MW
53	1	16.5032 MW
54	1	-17.1017 MW
55	1	-2.27263 MW
56	1	-22.1472 MW
57	1	17.9356 MW
58	1	-24.9219 MW
59	1	-8.07809 MW
60	1	99.8367 MW
61	1	31.256 MW
62	1	21.2537 MW
63	1	-99.0561 MW
64	1	4.25601 MW
65	1	22.6428 MW
66	1	-4.56572 MW
67	1	-14.3572 MW
68	1	-27.9615 MW
69	1	-27.9615 MW
70	1	-0.0643878 MW
71	1	-16.0644 MW
72	1	-25.7503 MW
73	1	-43.3141 MW
74	1	-22.4806 MW
75	1	-14.8421 MW
76	1	-27.3544 MW
77	1	-29.1262 MW
78	1	-34.8421 MW
79	1	37.0005 MW
80	1	46.3269 MW
81	1	22.0003 MW
82	1	21.849 MW
83	1	-89.4085 MW
84	1	-89.4085 MW
85	1	-19.6963 MW
86	1	20.0005 MW
87	1	23.1086 MW
88	1	6.21824 MW
89	1	5.10861 MW
90	1	-17.8914 MW
91	1	-3.68097 MW
92	1	-12.8504 MW
93	1	-20.4653 MW
94	1	9.10747 MW
95	1	-20.5396 MW
96	1	-8.0005 MW
97	1	5.78176 MW
98	1	-18.2071 MW
99	1	-19.1212 MW
100	1	-31.103 MW
101	1	-39.0661 MW
102	1	99.9976 MW
103	1	-99.9992 MW
104	1	-9.10373 MW
105	1	22.321 MW
106	1	-0.00209463 MW
107	1	-22.2999 MW
108	1	-9.24197 MW
109	1	-99.9976 MW
110	1	-99.9955 MW
111	1	-27.0889 MW
112	1	69.0262 MW
113	1	37.242 MW
114	1	-7.34268 MW
115	1	76.3689 MW
116	1	-6.95939e-07 MW
117	1	87.2789 MW
118	1	99.9972 MW
119	1	87.1264 MW
120	1	-1.31207 MW
121	1	15.9935 MW
122	1	7.90949 MW
123	1	-1.31207 MW
124	1	-3.82101e-09 MW
125	1	-24.6479 MW
126	1	-17.0079 MW
127	1	53.2667 MW
128	1	-47.7333 MW
129	1	-20.2667 MW
130	1	49.5953 MW
131	1	-85.7687 MW
132	1	-39.617 MW
133	1	37.1756 MW
134	1	-21.4047 MW
135	1	-60.4047 MW
136	1	76.3689 MW
137	1	34.9324 MW
138	1	42.2495 MW
139	1	34.6295 MW
140	1	13.41 MW
141	1	1.53724 MW
142	1	-18.3617 MW
143	1	-5.89186 MW
144	1	-12.5709 MW
145	1	-16.8919 MW
146	1	18.4628 MW
147	1	-26.0703 MW
148	1	-45.8553 MW
149	1	-2.53718 MW
150	1	-74.0703 MW
151	1	26.9904 MW
152	1	50.8947 MW
153	1	100 MW
154	1	31.9418 MW
155	1	-0.114822 MW
156	1	-0.114822 MW
157	1	25.3439 MW
158	1	19.7844 MW
159	1	4.09811 MW
160	1	17.6006 MW
161	1	13.3439 MW
162	1	29.4131 MW
163	1	6.76667 MW
164	1	-33.0515 MW
165	1	-12.5869 MW
166	1	-27.2495 MW
167	1	0.629545 MW
168	1	13.41 MW
169	1	9.39938 MW
170	1	77.3687 MW
171	1	40.2588 MW
172	1	42.8143 MW
173	1	-12.6006 MW
174	1	26.2053 MW
175	1	32.1654 MW
176	1	32.1793 MW
177	1	28.4641 MW
178	1	9.42873 MW
179	1	12.0614 MW
180	1	8.13936 MW
181	1	9.24305 MW
182	1	6.13936 MW
183	1	-1.86064 MW
184	1	-33.6814 MW
185	1	25 MW
186	1	8.50318 MW
Finished writing Internal Transmission lines' MW Flows
